fecha,cuenta,texto
Wed Dec 28 10:08:52 +0000 2016,korloki,President Trump mau visit Mexico and Canada the other two nations in North America over NAFTA.
Sat Dec 24 14:41:14 +0000 2016,sonandoyvolando,@sonandoyvolando escaping Trump wave to come to Mexico and visit family only to find a venue who dismisses the public for not having a
Sat Dec 24 02:30:22 +0000 2016,squashum,"@CNNPolitics   
El Chappo Family wants you visit with Trump send him in......oh that's right he is scared Trump won't go anywhere mexico..."
Sat Dec 24 00:24:53 +0000 2016,Reggaemanstomp,Donald Trump visit Mexico. https://t.co/X5SwD5sylE via @YouTube
Thu Dec 22 15:25:19 +0000 2016,FinanceExaminer,The way for Trump to make Mexico pay for the wall is to institute a 'stadium tax' on those coming in for a visit - https://t.co/3WfnfGTzxN
Tue Dec 20 22:14:41 +0000 2016,billmceachern,"@MAAWLAW @acoyne Trump's first visit won't be to Canada.  Mexico, China, maybe Israel."
Tue Dec 20 21:55:47 +0000 2016,dianapop,https://t.co/RbPiLPmFxO Donald Trump’s Going to Mexico and Twitter Is Having a Field Day https://t.co/R3fyrTxfdH 👏👏… https://t.co/YRPlN0MxJO
Tue Dec 20 09:34:14 +0000 2016,NBoardcast,"RT @cupworld710: Donald Trump Tackles Immigration With Speech, Mexico Visit: https://t.co/okQ5JRbydO via @YouTube"
Tue Dec 20 02:00:18 +0000 2016,PAZENJUSTICIA1,"Trump already spoke to EPN, remember his visit To Mx? Besides, this news is great for México https://t.co/jcc06cWz1N"
Sun Dec 18 02:55:53 +0000 2016,DragonMonsieur,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Sat Dec 17 09:16:29 +0000 2016,zyiteblog,Border cities worry that ending NAFTA would hurt economies - Donald Trump's only visit to the U.S.-Mexico borde... https://t.co/qGnEcWS9xc
Thu Dec 15 07:18:32 +0000 2016,WRCB,Border cities worry that ending NAFTA would hurt economies - Donald Trump's only visit to the U.S.-Mexico borde... https://t.co/y5JMyfSkOK
Wed Dec 14 20:17:04 +0000 2016,stra7egic,Mexico president says Trump visit could have been done better https://t.co/YS9wkebnf6 https://t.co/b0M4PRkasp
Wed Dec 14 02:23:32 +0000 2016,_Christenn,I want to go to Cancun but my daddy said I can't visit Mexico while trump is president..🙄
Tue Dec 13 16:55:40 +0000 2016,GabeBlessing,"@TheMiddleOfTime Mexico is nice to visit, but it has its own share of grave problems. At least they didn't elect Trump, though."
Sun Dec 11 16:54:41 +0000 2016,michele_fino,".#SundayMorning quote from former nanny ""when ru coming to visit me in New Mexico?"" @oliverfino response: ""We can't. #trump is bldg a wall."""
Sat Dec 10 13:03:30 +0000 2016,jeffrey_brewer,"RT @RT_com: #Trump in Mexico: Illegal immigration harms both countries, no talk of who pays for the wall https://t.co/D8bBkq0BY2 https://t.…"
Fri Dec 09 18:32:09 +0000 2016,JaymOnI_Swaggz,#HNIC #Visit_TradersHub  BRP vows to remain in Mexico even if Trump pulls out of NAFTA:… https://t.co/RxG3Krhi6l #CREAM on @FoshoENT_Radio
Fri Dec 09 16:43:23 +0000 2016,PaulObrienUSA,"@JenniferJJacobs @slone didn't Trump already visit Mexico? As for Canada, let that joke of a prime minister come here."
Fri Dec 09 11:59:50 +0000 2016,cadwego,Mexican Children's U.S. Dance Trip Cancelled Over Trump Fears. Students from #Oaxaca had planned visit to Palo Alto https://t.co/cy7caIgYpH
Fri Dec 09 06:37:17 +0000 2016,glendpa,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Thu Dec 08 04:04:17 +0000 2016,mikejcasey,@carmichael_btc @JohnJHarwood Deers in headlights. Mexico Prez fired finance min after local backlash over Trump visit. Now he looks smart.
Wed Dec 07 13:15:54 +0000 2016,4salegreensboro,"Visit: https://t.co/HCeW5i52PX Miami Condo King Jorge Perez, Donald Trump's Latino Billionaire Friend, Expands ... https://t.co/LYaxHx7W6m"
