fecha,cuenta,texto
Mon Oct 24 13:25:12 +0000 2016,Reuters,RT @ReutersPolitics: Mexico president says Trump visit could have been done better https://t.co/akaeT560EB https://t.co/uIlBxsYcvD
Mon Oct 24 05:05:05 +0000 2016,Reuters,Mexico president says Trump visit could have been done better https://t.co/hM0TgFVKri https://t.co/6XSl5Vzmbn
Thu Sep 22 21:35:03 +0000 2016,Reuters,Mexican president says Trump visit sparked minister's exit https://t.co/q1l9DLeJ1L https://t.co/1yMKdpMEw2
Wed Sep 07 22:35:05 +0000 2016,NBCNews,"Mexico finance secretary, reportedly responsible for Trump visit, resigns https://t.co/Wn5NiuxXdd https://t.co/2AfTZIzdTF"
Wed Sep 07 19:20:49 +0000 2016,Reuters,Mexico president replaces finance minister after damaging Trump visit: https://t.co/js0s0nrLgN https://t.co/YB1sPaaxxB
Wed Sep 07 17:35:51 +0000 2016,Reuters,Mexico president replaces finance minister after damaging Trump visit https://t.co/u8okt3LvgI
Wed Sep 07 16:08:22 +0000 2016,AP,"Mexican government says treasury minister has resigned; no reason given, but comes in wake of Trump visit. https://t.co/MYTksxuDpW"
Wed Sep 07 15:47:15 +0000 2016,AP,BREAKING: Mexico government spokeswoman: Treasury Minister Luis Videgaray has resigned after Trump visit.
Wed Sep 07 15:43:07 +0000 2016,nytimes,Mexico’s finance minister is resigning. Donald Trump’s visit was reportedly his idea. https://t.co/8AVYqeO240
Thu Sep 01 18:51:42 +0000 2016,guardian,Martin Rowson on Donald Trump's visit to Mexico – cartoon https://t.co/jrlr98UQm2
Thu Sep 01 15:45:11 +0000 2016,NBCNews,Here's how Trump's visit played on Mexico's front pages https://t.co/WsVj8lg460 https://t.co/QfXsSqXwg6
Thu Sep 01 12:35:01 +0000 2016,CNN,"Hillary Clinton: ""Trump just failed his first foreign test"" during visit to Mexico https://t.co/E5PPkYbHj1 https://t.co/qorG9JhBAB"
Thu Sep 01 12:11:36 +0000 2016,CNN,"RT @CNNPolitics: Tim Kaine: Donald Trump's Mexico visit was ""a choke"" and ""diplomacy is not for amateurs"" https://t.co/gKbIe8w9S9 https://t…"
Thu Sep 01 11:29:15 +0000 2016,NBCNews,RT @TODAYshow: .@timkaine slams Donald Trump's Mexico visit: 'Diplomatic amateur hour' https://t.co/UABPXvKDhf https://t.co/MryTaLRzTb
Thu Sep 01 08:48:06 +0000 2016,nytimes,"Donald Trump appeared solicitous, even pleading, in his visit to Mexico City https://t.co/4FYhODvCQX https://t.co/gMHHWjdaCy"
Thu Sep 01 03:21:28 +0000 2016,CNN,"Hillary Clinton: ""Trump just failed his first foreign test"" during visit to Mexico https://t.co/QlxSVLMlXM https://t.co/jpkTrnzMxG"
Thu Sep 01 01:12:36 +0000 2016,CNN,"Gov. Mike Pence on Trump's visit to Mexico: This meeting wasn't a negotiation, but the beginning of a relationship https://t.co/KmeFH6ABJk"
Thu Sep 01 01:04:00 +0000 2016,NBCNews,"Trump visit to Mexico was result of weeks of work, sources say https://t.co/lxS9IYnysx https://t.co/a6u5egOflo"
Thu Sep 01 00:40:36 +0000 2016,CNN,Donald Trump arrives in Phoenix for highly anticipated immigration speech after Mexico visit https://t.co/noUWdUcRH9 https://t.co/Yi0OkoxCfG
Thu Sep 01 00:03:53 +0000 2016,CNN,Trump is set to deliver a highly anticipated immigration speech following his Mexico visit https://t.co/wFLDRClH1k https://t.co/MMUHQXyarE
Wed Aug 31 20:41:29 +0000 2016,guardian,Protests in Mexico City over Trump visit – video https://t.co/PrNMPdujzg
Wed Aug 31 20:14:40 +0000 2016,AP,"BREAKING: Mexican President Enrique Pena Nieto says Donald Trump's visit demonstrates US, Mexico are important to each other."
Wed Aug 31 19:28:01 +0000 2016,CNN,"Hillary Clinton: Donald Trump ""dropping in"" on Mexico isn't what it takes to build alliances https://t.co/FUvfsW7tjz https://t.co/0c4GRIjVxw"
Wed Aug 31 17:31:10 +0000 2016,guardian,Trump's visit to Mexico may underscore a 'softening' of immigration message https://t.co/I5CVvrzZAv
Wed Aug 31 16:28:01 +0000 2016,CNN,Mexicans respond to the news of Donald Trump's visit with jokes https://t.co/XGvGomfVid https://t.co/pzQ3qmNpyY
Wed Aug 31 16:22:03 +0000 2016,nytimes,Donald Trump's visit to Mexico wasn't exactly met with open arms https://t.co/P3xEiG6lFr https://t.co/wvv36UN4YO
Wed Aug 31 14:41:58 +0000 2016,guardian,Donald Trump's visit to Mexico is greeted with hostility online https://t.co/sOR86wAYbG
Wed Aug 31 14:33:07 +0000 2016,nytimes,"Vicente Fox, ex-president of Mexico, scoffs at Donald Trump's visit https://t.co/6Vmz1cxUNe https://t.co/rJ3Lo2LpQs"
Wed Aug 31 13:44:17 +0000 2016,guardian,Donald Trump's visit to Mexico is greeted with hostility online   https://t.co/BzbOUAjJ0K
Wed Aug 31 10:55:07 +0000 2016,AP,Among #AP10ThingstoKnow: Trump making surprise visit to Mexico; Hurricane Madeline hurtles toward Hawaii. https://t.co/dH7vUwUG6Q
Wed Aug 31 10:34:45 +0000 2016,AP,"Donald Trump making a quick and unexpected visit to Mexico ahead of immigration speech.
By @colvinj and @JPaceDC. https://t.co/yATEEGQTfg"
Wed Aug 31 08:06:06 +0000 2016,nytimes,Donald Trump to visit Mexico after more than a year of mocking it https://t.co/WRsmpJJGnh
Wed Aug 31 06:18:30 +0000 2016,AP,VIDEO: Donald Trump speaks in Washington state before his visit to Mexico. https://t.co/RSk1wlHxTi
Wed Aug 31 03:23:25 +0000 2016,nytimes,Donald Trump to Visit Mexico After More Than a Year of Mocking It https://t.co/ZhvbLuP6ET
Wed Aug 31 03:07:42 +0000 2016,nytimes,Donald Trump to visit Mexico after more than a year of mocking it https://t.co/z78XF4e1Km
Wed Aug 31 02:16:41 +0000 2016,AP,"RT @AP_Politics: AP Source: Trump may visit Mexico before immigration speech, by @JPaceDC 
https://t.co/lBO9wvA6Te"
Wed Feb 17 19:08:56 +0000 2016,guardian,Pope Francis finds himself in US immigration debate after Mexico visit https://t.co/LIZ1zSCJSg
Wed Feb 17 15:43:02 +0000 2016,Reuters,The Vatican counters Trump on Pope Francis' border visit: https://t.co/WFtHzy2Dls https://t.co/dajNm0KDlF
